,AABW 30S 3750m,NADW 30S 1050m,NADW 30N 1050m,BSF Drake Passage,BSF Weddell Gyre
315,-9.483028,15.133951,24.15085,109.805368,80.072072
316,-10.511983,12.22671,24.438862,110.41828,76.232464
317,-9.559894,13.888569,25.299534,114.934992,73.877664
318,-9.853602,15.384996,24.753436,115.233352,75.576504
319,-11.403122,9.924184,27.205112,111.101264,77.06312
320,-10.491008,13.031333,25.71802,115.664752,76.904232
321,-11.933165,9.854733,24.05739,115.668576,71.672688
322,-9.268216,15.573814,27.18628,116.39352,74.895032
323,-10.416812,11.285901,25.138676,115.646368,71.787912
324,-11.789874,11.06303,24.910142,117.059144,69.650352
325,-10.498025,13.252211,26.690948,119.047264,77.091216
326,-11.150571,11.468989,23.075634,,
