year,month,XMXL WMASK mnthly
103, 8,  0.1923375E+05
103, 9,  0.1873970E+05
103,10,  0.1519040E+05
103,11,  0.1084084E+05
103,12,  0.6476679E+04
104, 1,  0.4140858E+04
104, 2,  0.4611385E+04
104, 3,  0.5953814E+04
104, 4,  0.1085246E+05
104, 5,  0.2221972E+05
104, 6,  0.2153825E+05
104, 7,  0.1840659E+05
104, 8,  0.1746636E+05
104, 9,  0.1786181E+05
104,10,  0.1463940E+05
104,11,  0.1061068E+05
104,12,  0.6406608E+04
105, 1,  0.4158187E+04
105, 2,  0.4616444E+04
105, 3,  0.5970820E+04
105, 4,  0.1076936E+05
105, 5,  0.2336085E+05
105, 6,  0.2390506E+05
105, 7,  0.2088564E+05
105, 8,  0.1863228E+05
105, 9,  0.1756474E+05
105,10,  0.1439513E+05
105,11,  0.1066070E+05
105,12,  0.6379074E+04
106, 1,  0.4160507E+04
106, 2,  0.4629011E+04
106, 3,  0.5998918E+04
106, 4,  0.1000994E+05
106, 5,  0.2322507E+05
106, 6,  0.2423185E+05
106, 7,  0.2292157E+05
106, 8,  0.1962841E+05
106, 9,  0.1801493E+05
106,10,  0.1432279E+05
106,11,  0.1067643E+05
106,12,  0.6340675E+04
107, 1,  0.4131895E+04
107, 2,  0.4656055E+04
107, 3,  0.6011849E+04
107, 4,  0.1066631E+05
107, 5,  0.2343770E+05
107, 6,  0.2553852E+05
107, 7,  0.2316647E+05
107, 8,  0.1977289E+05
107, 9,  0.1844349E+05
107,10,  0.1541769E+05
107,11,  0.1087918E+05
107,12,  0.6400256E+04
108, 1,  0.4163752E+04
108, 2,  0.4650119E+04
108, 3,  0.6018637E+04
108, 4,  0.1120846E+05
108, 5,  0.2439316E+05
108, 6,  0.2395155E+05
108, 7,  0.2194887E+05
108, 8,  0.1984269E+05
108, 9,  0.1922052E+05
108,10,  0.1520510E+05
108,11,  0.1093300E+05
108,12,  0.6390729E+04
109, 1,  0.4144042E+04
109, 2,  0.4640065E+04
109, 3,  0.5997294E+04
109, 4,  0.1100435E+05
109, 5,  0.2461546E+05
109, 6,  0.2462313E+05
109, 7,  0.2222546E+05
109, 8,  0.1944381E+05
109, 9,  0.1876086E+05
109,10,  0.1524718E+05
109,11,  0.1085833E+05
109,12,  0.6386928E+04
110, 1,  0.4181056E+04
110, 2,  0.4649916E+04
110, 3,  0.6021443E+04
110, 4,  0.1044288E+05
110, 5,  0.2431768E+05
110, 6,  0.2405383E+05
110, 7,  0.2180089E+05
110, 8,  0.2021589E+05
110, 9,  0.1950513E+05
110,10,  0.1583068E+05
110,11,  0.1102196E+05
110,12,  0.6398160E+04
111, 1,  0.4140479E+04
111, 2,  0.4645650E+04
111, 3,  0.5993385E+04
111, 4,  0.1073484E+05
111, 5,  0.2390524E+05
111, 6,  0.2416407E+05
111, 7,  0.2041128E+05
111, 8,  0.1958853E+05
111, 9,  0.1918515E+05
111,10,  0.1552857E+05
111,11,  0.1102264E+05
111,12,  0.6426165E+04
112, 1,  0.4152164E+04
112, 2,  0.4636173E+04
112, 3,  0.5990660E+04
112, 4,  0.1111926E+05
112, 5,  0.2373129E+05
112, 6,  0.2370073E+05
112, 7,  0.2041435E+05
112, 8,  0.1897106E+05
112, 9,  0.1906686E+05
112,10,  0.1549758E+05
112,11,  0.1107681E+05
112,12,  0.6425080E+04
113, 1,  0.4150996E+04
113, 2,  0.4627178E+04
113, 3,  0.6002995E+04
113, 4,  0.1042985E+05
113, 5,  0.2254296E+05
113, 6,  0.2218761E+05
113, 7,  0.2004292E+05
113, 8,  0.1920025E+05
113, 9,  0.1889277E+05
113,10,  0.1587714E+05
113,11,  0.1105805E+05
113,12,  0.6461457E+04
114, 1,  0.4178532E+04
114, 2,  0.4648193E+04
114, 3,  0.6000501E+04
114, 4,  0.1042454E+05
114, 5,  0.2160613E+05
114, 6,  0.2227835E+05
114, 7,  0.1992504E+05
114, 8,  0.2031289E+05
114, 9,  0.1992171E+05
114,10,  0.1630518E+05
114,11,  0.1097614E+05
114,12,  0.6500372E+04
115, 1,  0.4178562E+04
115, 2,  0.4661812E+04
115, 3,  0.6010947E+04
115, 4,  0.1064943E+05
115, 5,  0.2259338E+05
115, 6,  0.2102149E+05
115, 7,  0.1868862E+05
115, 8,  0.1872333E+05
115, 9,  0.1863068E+05
115,10,  0.1526152E+05
115,11,  0.1114305E+05
115,12,  0.6548164E+04
116, 1,  0.4179326E+04
116, 2,  0.4654835E+04
116, 3,  0.6026148E+04
116, 4,  0.1005932E+05
116, 5,  0.2131396E+05
116, 6,  0.2093152E+05
116, 7,  0.1841003E+05
116, 8,  0.1684743E+05
116, 9,  0.1748296E+05
116,10,  0.1515596E+05
116,11,  0.1105847E+05
116,12,  0.6430672E+04
117, 1,  0.4137524E+04
117, 2,  0.4643345E+04
117, 3,  0.6016501E+04
117, 4,  0.1065872E+05
117, 5,  0.2270112E+05
117, 6,  0.2114543E+05
117, 7,  0.1848920E+05
117, 8,  0.1786437E+05
117, 9,  0.1799132E+05
117,10,  0.1510161E+05
117,11,  0.1105757E+05
117,12,  0.6559235E+04
118, 1,  0.4200128E+04
118, 2,  0.4647667E+04
118, 3,  0.6023269E+04
118, 4,  0.1144638E+05
118, 5,  0.2222571E+05
118, 6,  0.2064735E+05
118, 7,  0.1767445E+05
118, 8,  0.1867303E+05
118, 9,  0.1903346E+05
118,10,  0.1582054E+05
118,11,  0.1097781E+05
118,12,  0.6468405E+04
119, 1,  0.4149572E+04
119, 2,  0.4630812E+04
119, 3,  0.6003664E+04
119, 4,  0.1037412E+05
119, 5,  0.1961971E+05
119, 6,  0.1868776E+05
119, 7,  0.1787771E+05
119, 8,  0.1845307E+05
119, 9,  0.1899762E+05
119,10,  0.1550795E+05
119,11,  0.1111612E+05
119,12,  0.6489332E+04
120, 1,  0.4157631E+04
120, 2,  0.4630231E+04
120, 3,  0.6015280E+04
120, 4,  0.9488936E+04
120, 5,  0.1860718E+05
120, 6,  0.1778327E+05
120, 7,  0.1759799E+05
120, 8,  0.1719227E+05
120, 9,  0.1770391E+05
120,10,  0.1503520E+05
120,11,  0.1119730E+05
120,12,  0.6497788E+04
121, 1,  0.4129312E+04
121, 2,  0.4633011E+04
121, 3,  0.5990572E+04
121, 4,  0.9849368E+04
121, 5,  0.2030409E+05
121, 6,  0.1920531E+05
121, 7,  0.1628646E+05
121, 8,  0.1598790E+05
121, 9,  0.1653427E+05
121,10,  0.1457823E+05
121,11,  0.1111378E+05
121,12,  0.6520450E+04
122, 1,  0.4143190E+04
122, 2,  0.4622125E+04
122, 3,  0.5971498E+04
122, 4,  0.1043320E+05
122, 5,  0.2013996E+05
122, 6,  0.1883641E+05
122, 7,  0.1480825E+05
122, 8,  0.1426012E+05
122, 9,  0.1476554E+05
122,10,  0.1350877E+05
122,11,  0.1093419E+05
122,12,  0.6478179E+04
123, 1,  0.4112488E+04
123, 2,  0.4610246E+04
123, 3,  0.5932137E+04
123, 4,  0.8735647E+04
123, 5,  0.1623119E+05
123, 6,  0.1589512E+05
123, 7,  0.1534078E+05
123, 8,  0.1402559E+05
123, 9,  0.1483979E+05
123,10,  0.1359779E+05
123,11,  0.1099311E+05
123,12,  0.6532443E+04
124, 1,  0.4142424E+04
124, 2,  0.4609229E+04
124, 3,  0.5934152E+04
124, 4,  0.8885977E+04
124, 5,  0.1661683E+05
124, 6,  0.1520501E+05
124, 7,  0.1394162E+05
124, 8,  0.1357119E+05
124, 9,  0.1473562E+05
124,10,  0.1373641E+05
124,11,  0.1081342E+05
124,12,  0.6502729E+04
125, 1,  0.4088730E+04
125, 2,  0.4593850E+04
125, 3,  0.5909276E+04
125, 4,  0.7719246E+04
125, 5,  0.1322657E+05
125, 6,  0.1417429E+05
125, 7,  0.1376151E+05
125, 8,  0.1299473E+05
125, 9,  0.1372248E+05
125,10,  0.1299858E+05
125,11,  0.1086507E+05
125,12,  0.6635066E+04
126, 1,  0.4118057E+04
126, 2,  0.4599584E+04
126, 3,  0.5898854E+04
126, 4,  0.8445454E+04
126, 5,  0.1508782E+05
126, 6,  0.1476105E+05
126, 7,  0.1432729E+05
126, 8,  0.1277107E+05
126, 9,  0.1343724E+05
126,10,  0.1286668E+05
126,11,  0.1115891E+05
126,12,  0.6696897E+04
127, 1,  0.4126311E+04
127, 2,  0.4613401E+04
127, 3,  0.5928742E+04
127, 4,  0.9410207E+04
127, 5,  0.1777813E+05
127, 6,  0.1636436E+05
127, 7,  0.1397017E+05
127, 8,  0.1225085E+05
127, 9,  0.1262017E+05
127,10,  0.1237820E+05
127,11,  0.1087562E+05
127,12,  0.6561627E+04
128, 1,  0.4129108E+04
128, 2,  0.4601324E+04
128, 3,  0.5942489E+04
128, 4,  0.9163871E+04
128, 5,  0.1793046E+05
128, 6,  0.1668112E+05
128, 7,  0.1401077E+05
128, 8,  0.1238666E+05
128, 9,  0.1246322E+05
128,10,  0.1228000E+05
128,11,  0.1076088E+05
128,12,  0.6611292E+04
129, 1,  0.4139458E+04
129, 2,  0.4594658E+04
129, 3,  0.5921274E+04
129, 4,  0.8894054E+04
129, 5,  0.1778642E+05
129, 6,  0.1639722E+05
129, 7,  0.1394710E+05
129, 8,  0.1314740E+05
129, 9,  0.1343902E+05
129,10,  0.1260378E+05
129,11,  0.1075750E+05
129,12,  0.6518289E+04
130, 1,  0.4116847E+04
130, 2,  0.4601047E+04
130, 3,  0.5944062E+04
130, 4,  0.1031901E+05
130, 5,  0.1757714E+05
130, 6,  0.1575019E+05
130, 7,  0.1489868E+05
130, 8,  0.1362754E+05
130, 9,  0.1404078E+05
130,10,  0.1315788E+05
130,11,  0.1064254E+05
130,12,  0.6461256E+04
131, 1,  0.4102195E+04
131, 2,  0.4593656E+04
131, 3,  0.5928235E+04
131, 4,  0.8242058E+04
131, 5,  0.1625686E+05
131, 6,  0.1625815E+05
131, 7,  0.1510734E+05
131, 8,  0.1545578E+05
131, 9,  0.1581570E+05
131,10,  0.1432425E+05
131,11,  0.1086669E+05
131,12,  0.6510056E+04
132, 1,  0.4115112E+04
132, 2,  0.4599299E+04
132, 3,  0.5897838E+04
132, 4,  0.8254457E+04
132, 5,  0.1626648E+05
132, 6,  0.1606532E+05
132, 7,  0.1564018E+05
132, 8,  0.1675206E+05
132, 9,  0.1703658E+05
132,10,  0.1494313E+05
132,11,  0.1089998E+05
132,12,  0.6526029E+04
133, 1,  0.4119459E+04
133, 2,  0.4592414E+04
133, 3,  0.5919610E+04
133, 4,  0.8320673E+04
133, 5,  0.1591213E+05
133, 6,  0.1569763E+05
133, 7,  0.1572015E+05
133, 8,  0.1608297E+05
133, 9,  0.1630990E+05
133,10,  0.1390161E+05
133,11,  0.1076977E+05
133,12,  0.6482963E+04
134, 1,  0.4105719E+04
134, 2,  0.4593151E+04
134, 3,  0.5904900E+04
134, 4,  0.8387331E+04
134, 5,  0.1529924E+05
134, 6,  0.1553682E+05
134, 7,  0.1587657E+05
134, 8,  0.1478002E+05
134, 9,  0.1486449E+05
134,10,  0.1330138E+05
134,11,  0.1059316E+05
134,12,  0.6517315E+04
135, 1,  0.4110495E+04
135, 2,  0.4594570E+04
135, 3,  0.5948854E+04
135, 4,  0.8723461E+04
135, 5,  0.1796207E+05
135, 6,  0.1873740E+05
135, 7,  0.1703266E+05
135, 8,  0.1408511E+05
135, 9,  0.1406841E+05
135,10,  0.1311505E+05
135,11,  0.1083466E+05
135,12,  0.6612791E+04
136, 1,  0.4140872E+04
136, 2,  0.4645465E+04
136, 3,  0.6014152E+04
136, 4,  0.1044834E+05
136, 5,  0.2091791E+05
136, 6,  0.2056263E+05
136, 7,  0.1815819E+05
136, 8,  0.1440518E+05
136, 9,  0.1403961E+05
136,10,  0.1281939E+05
136,11,  0.1087612E+05
136,12,  0.6506022E+04
137, 1,  0.4148087E+04
137, 2,  0.4622236E+04
137, 3,  0.5963186E+04
137, 4,  0.1008872E+05
137, 5,  0.2240157E+05
137, 6,  0.2176012E+05
137, 7,  0.1815148E+05
137, 8,  0.1391632E+05
137, 9,  0.1355898E+05
137,10,  0.1272426E+05
137,11,  0.1093968E+05
137,12,  0.6490903E+04
138, 1,  0.4163104E+04
138, 2,  0.4647945E+04
138, 3,  0.6018878E+04
138, 4,  0.1190655E+05
138, 5,  0.2476101E+05
138, 6,  0.2381316E+05
138, 7,  0.2086587E+05
138, 8,  0.1796817E+05
138, 9,  0.1749449E+05
138,10,  0.1513816E+05
138,11,  0.1094513E+05
138,12,  0.6416433E+04
139, 1,  0.4169518E+04
139, 2,  0.4656426E+04
139, 3,  0.6019344E+04
139, 4,  0.1141729E+05
139, 5,  0.2547448E+05
139, 6,  0.2709730E+05
139, 7,  0.2491090E+05
139, 8,  0.2139074E+05
139, 9,  0.2046704E+05
139,10,  0.1641811E+05
139,11,  0.1100010E+05
139,12,  0.6371216E+04
140, 1,  0.4193443E+04
140, 2,  0.4667430E+04
140, 3,  0.6035885E+04
140, 4,  0.1145523E+05
140, 5,  0.2579777E+05
140, 6,  0.2876442E+05
140, 7,  0.2604020E+05
140, 8,  0.2241826E+05
140, 9,  0.2163102E+05
140,10,  0.1719373E+05
140,11,  0.1100057E+05
140,12,  0.6365606E+04
141, 1,  0.4185497E+04
141, 2,  0.4665165E+04
141, 3,  0.6055819E+04
141, 4,  0.1284007E+05
141, 5,  0.2738239E+05
141, 6,  0.2958300E+05
141, 7,  0.2643737E+05
141, 8,  0.2216787E+05
141, 9,  0.2095187E+05
141,10,  0.1619136E+05
141,11,  0.1102652E+05
141,12,  0.6424422E+04
142, 1,  0.4190332E+04
142, 2,  0.4688413E+04
142, 3,  0.6064773E+04
142, 4,  0.1229535E+05
142, 5,  0.2723379E+05
142, 6,  0.3035101E+05
142, 7,  0.2829922E+05
142, 8,  0.2305759E+05
142, 9,  0.2041448E+05
142,10,  0.1604303E+05
142,11,  0.1118831E+05
142,12,  0.6407402E+04
143, 1,  0.4199502E+04
143, 2,  0.4700987E+04
143, 3,  0.6087982E+04
143, 4,  0.1234729E+05
143, 5,  0.2895120E+05
143, 6,  0.3084725E+05
143, 7,  0.2943256E+05
143, 8,  0.2415867E+05
143, 9,  0.2144698E+05
143,10,  0.1653204E+05
143,11,  0.1121060E+05
143,12,  0.6380778E+04
144, 1,  0.4212896E+04
144, 2,  0.4728464E+04
144, 3,  0.6107558E+04
144, 4,  0.1334867E+05
144, 5,  0.3097609E+05
144, 6,  0.3300346E+05
144, 7,  0.3064146E+05
144, 8,  0.2511795E+05
144, 9,  0.2215837E+05
144,10,  0.1704596E+05
144,11,  0.1123520E+05
144,12,  0.6440236E+04
145, 1,  0.4222004E+04
145, 2,  0.4720581E+04
145, 3,  0.6149827E+04
145, 4,  0.1461926E+05
145, 5,  0.3175229E+05
145, 6,  0.3314021E+05
145, 7,  0.3167764E+05
145, 8,  0.2471574E+05
145, 9,  0.2207071E+05
145,10,  0.1699725E+05
145,11,  0.1143309E+05
145,12,  0.6405786E+04
146, 1,  0.4244942E+04
146, 2,  0.4739421E+04
146, 3,  0.6143471E+04
146, 4,  0.1379130E+05
146, 5,  0.3184756E+05
146, 6,  0.3197892E+05
146, 7,  0.2868042E+05
146, 8,  0.2347259E+05
146, 9,  0.2159612E+05
146,10,  0.1684761E+05
146,11,  0.1147594E+05
146,12,  0.6408523E+04
147, 1,  0.4257357E+04
147, 2,  0.4750958E+04
147, 3,  0.6162327E+04
147, 4,  0.1379130E+05
147, 5,  0.3237776E+05
147, 6,  0.3375148E+05
147, 7,  0.3149750E+05
147, 8,  0.2557470E+05
147, 9,  0.2414046E+05
147,10,  0.1801061E+05
147,11,  0.1164642E+05
147,12,  0.6620188E+04
148, 1,  0.4336147E+04
148, 2,  0.4801145E+04
148, 3,  0.6214231E+04
148, 4,  0.1378685E+05
148, 5,  0.3137797E+05
148, 6,  0.3211709E+05
148, 7,  0.2943247E+05
148, 8,  0.2398180E+05
148, 9,  0.2253748E+05
148,10,  0.1713589E+05
148,11,  0.1168775E+05
148,12,  0.6532515E+04
149, 1,  0.4292916E+04
149, 2,  0.4731316E+04
149, 3,  0.6162441E+04
149, 4,  0.1368278E+05
149, 5,  0.3001679E+05
149, 6,  0.2895661E+05
149, 7,  0.2287365E+05
149, 8,  0.1975090E+05
149, 9,  0.1953317E+05
149,10,  0.1530412E+05
149,11,  0.1148882E+05
149,12,  0.6516934E+04
150, 1,  0.4238772E+04
150, 2,  0.4736576E+04
150, 3,  0.6124638E+04
150, 4,  0.1453573E+05
150, 5,  0.3037025E+05
150, 6,  0.2821622E+05
150, 7,  0.2173313E+05
150, 8,  0.1629307E+05
150, 9,  0.1626117E+05
150,10,  0.1452981E+05
150,11,  0.1142456E+05
150,12,  0.6548234E+04
151, 1,  0.4237195E+04
151, 2,  0.4698872E+04
151, 3,  0.6096684E+04
151, 4,  0.1318342E+05
151, 5,  0.2874986E+05
151, 6,  0.2727117E+05
151, 7,  0.2061694E+05
151, 8,  0.1531274E+05
151, 9,  0.1535865E+05
151,10,  0.1431152E+05
151,11,  0.1143381E+05
151,12,  0.6584489E+04
152, 1,  0.4221989E+04
